gene,arm,median_loss,median_neutral,condition,norm_exp
CDK11A,1p,-0.0382013741387624,-0.0398791896403269,sig,0.0016778155015644974
NRAS,1p,-0.0945446196185564,0.0513077031173205,sig,-0.1458523227358769
RAB3B,1p,-0.705688403329428,-0.185469912401786,sig,-0.5202184909276419
BTRC,10q,-0.0081198074611794,-0.115703096507374,sig,0.1075832890461946
HNRNPF,10q,-0.0730873443524719,0.10104883527178525,sig,-0.17413617962425715
PC,11q,0.08436044733845445,-0.1116611343672387,sig,0.19602158170569317
HNRNPUL2,11q,0.00619467516337625,-0.07073168489501111,sig,0.07692636005838736
PPP2R1B,11q,-0.1723444457875335,-0.08590851791126615,sig,-0.08643592787626735
SRSF8,11q,0.00867724812808075,0.018312901102122747,sig,-0.009635652974041998
YAP1,11q,-0.022158172544267565,0.20399314876383431,sig,-0.2261513213081019
MAGOHB,12p,-0.0872557884397045,-0.0353313134943128,sig,-0.051924474945391694
SOS2,14q,-0.342898302358949,-0.06237883077447225,sig,-0.28051947158447677
IREB2,15q,-0.315655490298476,-0.153008474849787,sig,-0.162647015448689
DNAH9,17p,0.0540637425161885,-0.06879143112118011,sig,0.12285517363736861
NDEL1,17p,-0.0460040317596911,0.117188505300992,sig,-0.1631925370606831
CHD3,17p,-0.09714028939796196,0.0174346115716033,sig,-0.11457490096956525
RAB31,18p,-0.0843691266344404,-0.0918460359152675,sig,0.007476909280827088
TUBB6,18p,-0.133190138475127,-0.016005580624526,sig,-0.117184557850601
DDX39A,19p,-0.167839683291642,-0.0213048407027075,sig,-0.1465348425889345
RAB8A,19p,-0.0211703207862495,-0.0399062504612003,sig,0.0187359296749508
RAB8A,19p,-0.0211703207862495,-0.0399062504612003,sig,0.0187359296749508
FOSB,19q,-0.09958333317831548,-0.40495247463788453,sig,0.30536914145956906
NAPA,19q,-0.186982888906808,-0.100170891940708,sig,-0.08681199696610001
PPP5C,19q,-0.360481134613046,-0.01906160988534255,sig,-0.3414195247277034
DSTN,20p,-0.47757222000848,-0.132744683498216,sig,-0.344827536510264
DDX17,22q,-0.04052685443117105,0.01304040800050595,sig,-0.053567262431677004
ARF4,3p,-0.239379847898593,0.06638176089131889,sig,-0.3057616087899119
