gene,arm,median_loss,median_neutral,condition,norm_exp
RAB3B,1p,3.4497946873270293,3.760632951327027,sig,-0.3108382639999978
YAP1,11q,2.911307607521526,3.2304661884284287,sig,-0.31915858090690286
IREB2,15q,2.761937520501279,2.6337809045514042,sig,0.12815661594987482
CHD3,17p,2.3240360037085583,2.6881527048575373,sig,-0.364116701148979
RAB31,18p,2.9507553599086345,2.9287873020665733,sig,0.02196805784206113
RAB8A,19p,5.126749634066188,5.283438242415536,sig,-0.15668860834934772
RAB8A,19p,5.126749634066188,5.283438242415536,sig,-0.15668860834934772
DDX17,22q,6.490523612356796,6.684862318509896,sig,-0.19433870615309967
ARF4,3p,4.075043389496239,4.461699555967487,sig,-0.3866561664712478
EIF1B,3p,0.7497796053818331,1.023472725434776,sig,-0.2736931200529429
CIRBP,19p,4.456507059805867,5.065700350980728,non_sig,-0.6091932911748605
KDM5B,1q,2.6206066638172825,2.702279867375402,non_sig,-0.08167320355811958
CDYL,6p,3.3720524510580567,3.388841083116356,non_sig,-0.016788632058299058
SOX15,17p,2.141294949110165,2.3776672408120634,non_sig,-0.23637229170189844
SOX2,3q,1.8398027692925325,1.9783509478665569,non_sig,-0.13854817857402435
SOX17,8q,0.6680580680682027,2.2560684594527434,non_sig,-1.5880103913845407
SOX21,13q,2.1779847646845276,2.1211776170946632,non_sig,0.05680714758986438
CEL,9q,3.2050712429651034,3.144015376685662,non_sig,0.06105586627944115
PCDH1,5q,2.9945086101880087,2.9318098224773834,non_sig,0.06269878771062531
PCDH9,13q,2.0007476836099563,1.4367038064759092,non_sig,0.564043877134047
PCDH7,4p,2.1930685046472864,2.2600148253826533,non_sig,-0.06694632073536688
SET,9q,4.40088444869194,4.614730143145787,non_sig,-0.2138456944538465
MIPEP,13q,3.2034573003200233,3.274248990228153,non_sig,-0.07079168990812956
THOP1,19p,3.8795810613864035,4.341702552392183,non_sig,-0.4621214910057798
CRYL1,13q,2.0798011387996587,2.066808534959894,non_sig,0.012992603839764527
CAB39,2q,2.5927714367125603,2.8338815644414006,non_sig,-0.24111012772884033
LPAR1,9q,0.8940226518831572,0.5008196375163314,non_sig,0.3932030143668258
WASF3,13q,0.2445948064693688,0.9335740591524986,non_sig,-0.6889792526831298
WASF2,1p,3.946379679423368,4.1844323438838185,non_sig,-0.23805266446045037
WASF1,6q,2.382507986573546,2.562796935780434,non_sig,-0.1802889492068882
POSTN,13q,5.682969556307731,5.699121660414475,non_sig,-0.016152104106743614
ST14,11q,2.957318778772426,3.253980010208529,non_sig,-0.296661231436103
GPA33,1q,5.618880818821816,4.258704865334759,non_sig,1.3601759534870563
VSIG2,11q,0.551954124895154,1.8039096608489624,non_sig,-1.2519555359538084
ESAM,11q,1.8820794343439529,1.4920267628884585,non_sig,0.3900526714554944
CLMP,11q,3.142053411144156,3.5542917054744825,non_sig,-0.41223829433032666
JAM3,11q,3.6266581881891318,4.002747890703189,non_sig,-0.37608970251405704
FREM2,13q,1.850142504507806,1.5831615035289104,non_sig,0.26698100097889554
FREM3,4q,5.005738169069312,4.523966417843424,non_sig,0.4817717512258888
SCAF4,21q,2.8259411620143604,3.173414518967049,non_sig,-0.34747335695268866
SCAF8,6q,3.0194783606665845,3.459026292244584,non_sig,-0.4395479315779993
IMPA2,18p,2.651384583841832,2.443364145832178,non_sig,0.20802043800965375
BPNT1,1q,3.4468831538795057,3.7792323875462865,non_sig,-0.3323492336667808
IMPA1,8q,3.2132129667957114,3.7312900568614844,non_sig,-0.518077090065773
SPRY4,5q,3.6864048140310177,3.457443605177291,non_sig,0.22896120885372673
KLF16,19p,2.365683358518407,2.4364280566710352,non_sig,-0.07074469815262807
KLF13,15q,0.5173250219454295,0.43736631730534875,non_sig,0.07995870464008076
NCAM2,21q,2.8720931409435964,3.143678106998714,non_sig,-0.2715849660551175
NCAM1,11q,4.50145686980486,4.15478929094234,non_sig,0.34666757886252064
MELK,9p,1.1417501194460924,1.3585296968539955,non_sig,-0.2167795774079031
RFC3,13q,3.022360803181801,3.1390029287720376,non_sig,-0.11664212559023657
RFC4,3q,4.910530338343952,5.062518136236003,non_sig,-0.1519877978920512
RFC5,12q,3.5145343613600777,3.4723061629134135,non_sig,0.042228198446664145
RFC2,7q,4.358690744512501,4.45412204856503,non_sig,-0.09543130405252942
MORC3,21q,0.2814871960484869,0.6141098886126299,non_sig,-0.33262269256414306
GCFC2,2p,1.6914736561681236,1.8861937966990592,non_sig,-0.19472014053093556
OLFM4,13q,2.8711913367185193,3.1533753510556823,non_sig,-0.282184014337163
IPO5,13q,4.953414784747047,5.439903986303715,non_sig,-0.48648920155666797
IPO4,14q,3.784920425453472,4.154570926214687,non_sig,-0.36965050076121475
CELF4,18q,2.781119468811135,3.2422951384907703,non_sig,-0.4611756696796352
CELF2,10p,3.642188756926988,3.9229479170670167,non_sig,-0.28075916014002855
