gene,arm,median_loss,median_neutral,condition,norm_exp
NRAS,1p,-0.01655,0.0044165,sig,-0.0209665
YAP1,11q,-0.151176,-0.000171,sig,-0.151005
PRKAA1,5p,-0.0040535,0.021953,non_sig,-0.026006500000000002
SMAD3,15q,-0.028017,-0.000202,non_sig,-0.027815
SMAD4,18q,-0.064188,0.060394,non_sig,-0.124582
SMAD1,4q,-0.061831,0.049331,non_sig,-0.111162
IRS1,2q,-0.007191,-0.0122385,non_sig,0.005047499999999999
KDR,4q,0.275147,-0.2077185,non_sig,0.48286549999999995
KIT,4q,-0.003239,0.016531499999999998,non_sig,-0.019770499999999996
ETS1,11q,-0.009216,-0.016041,non_sig,0.0068249999999999995
TP53I3,2p,-0.138522,0.009512,non_sig,-0.148034
PREX1,20q,-0.113471,-0.036518,non_sig,-0.076953
NDRG1,8q,0.017823,-0.101717,non_sig,0.11954000000000001
PTEN,10q,-0.272758,0.148853,non_sig,-0.421611
GATA3,10p,-0.0327115,0.0071625,non_sig,-0.039874
RB1,13q,-0.1977915,0.10481925,non_sig,-0.30261075000000004
ADAR,1q,-0.207054,-0.039711,non_sig,-0.167343
CDK1,10q,-0.038923,0.019381,non_sig,-0.058303999999999995
BAX,19q,-0.2854635,0.083249,non_sig,-0.3687125
CCNE1,19q,-0.17061900000000002,-0.002182,non_sig,-0.16843700000000003
CCND1,11q,0.027489,-0.013561,non_sig,0.04105
CCNB1,5q,-0.030418,0.0091785,non_sig,-0.0395965
SCD,10q,-0.019244,0.004479,non_sig,-0.023723
STMN1,1p,-0.081452,0.016973000000000002,non_sig,-0.098425
MSH6,2p,-0.25825450000000005,0.01812,non_sig,-0.2763745000000001
IGFBP2,2q,0.17192,6.1e-05,non_sig,0.17185899999999998
TFRC,3q,-0.242223,-0.078832,non_sig,-0.163391
RAD51,15q,-0.068537,0.039099,non_sig,-0.10763600000000001
VAV1,19p,-0.027884,0.053358,non_sig,-0.08124200000000001
JAK2,9p,-0.131409,0.04959,non_sig,-0.180999
LCK,1p,0.01124,0.072791,non_sig,-0.061550999999999995
PDK1,2q,-0.036449,0.02157125,non_sig,-0.05802025
EIF4E,4q,-0.149968,0.1178945,non_sig,-0.2678625
CCNE2,8q,-0.062819,-0.025857,non_sig,-0.036961999999999995
MAP2K1,15q,-0.138641,0.042706,non_sig,-0.18134699999999998
EEF2,19p,-0.14301,0.02031,non_sig,-0.16332
PRDX1,1p,-0.04677,0.010875,non_sig,-0.057645
NOTCH1,9q,-0.17658,0.033177,non_sig,-0.20975699999999997
XRCC1,19q,-0.06261900000000001,-0.003745,non_sig,-0.05887400000000001
MET,7q,-0.008432000000000002,0.003202,non_sig,-0.011634000000000002
JUN,1p,-0.06806,0.0068695,non_sig,-0.0749295
GAB2,11q,-0.187891,0.063184,non_sig,-0.251075
NF2,22q,-0.185729,0.063402,non_sig,-0.249131
CDH1,16q,1.011555,-0.188525,non_sig,1.20008
ACVRL1,12q,0.008588,0.0050290000000000005,non_sig,0.0035589999999999997
STAT3,17q,0.009068499999999993,0.0429145,non_sig,-0.03384600000000001
GAPDH,12p,-0.501841,0.018287,non_sig,-0.520128
VHL,3p,0.711771,-0.589581,non_sig,1.301352
DVL3,3q,-0.16086,-0.015923,non_sig,-0.144937
AKT1,14q,-0.15953,0.019584,non_sig,-0.179114
EGFR,7p,-0.0874,-0.06878,non_sig,-0.01862000000000001
ERBB2,17q,-0.0037249999999999996,-0.042475,non_sig,0.03875
ERBB3,12q,0.099255,-0.046938,non_sig,0.146193
MDM2,12q,0.00365,-0.0306605,non_sig,0.0343105
INPP4B,4q,-0.001024,0.0018319999999999999,non_sig,-0.002856
CTNNB1,3p,0.266211,-0.295371,non_sig,0.561582
RBM15,1p,-0.122516,0.022461,non_sig,-0.144977
MYC,8q,-0.0331675,-0.002059,non_sig,-0.031108500000000004
MSH2,2p,-0.07055449999999999,0.022104,non_sig,-0.09265849999999999
